"titulo","ano","duracion","pais","direccion","guion","musica","fotografia","reparto","productora","genero","sinopsis","criticas","premios"
"Little Things","2016","16 min.","India","Ajay Bhuyan","Dhruv Sehgal","Neel Adhikari","Aniruddha Patankar","Dhruv Sehgal, Mithila Palkar, Aman Bhagat, Veer Rajwant Singh, Palvi Jaswal, Sanjay Gurbaxani, Kartik Krishnan","Dice Media","Serie de TV. Romance. Drama. Comedia","Una pareja de veinteañeros que viven juntos lidian con los vaivenes del trabajo, las relaciones modernas y la búsqueda de uno mismo en el Bombay contemporáneo.",NA,NA
"A World Without","2021","106 min.","Indonesia","Nia Di Nata","Nia Di Nata, Lucky Kuswandi",NA,NA,"Jerome Kurnia, Amanda Rawles, Asmara Abigail, Chicco Jerikho, Ayushita, Maizura, Richard Kyle, Dira Sugandi","Kalyana Shira Films. Distribuidora: Netflix","Drama. Ciencia ficción","En un país en el que está prohibido tener citas, tres adolescentes en busca de la felicidad deciden unirse a The Light: una comunidad encabezada por un carismático líder. ",NA,NA
"Gekijouban Violet Evergarden","2020","140 min.","Japón","Taichi Ishidate","Reiko Yoshida. Novela: Kana Akatsuki","Evan Call","Animación, Kōhei Funamoto","Animación","Kyoto Animation, ABC Animation, Pony Canyon, Rakuonsha. Distribuidora: Netflix","Animación. Drama. Ciencia ficción | Steampunk","Violet Evergarden sigue pensando en Gilbert, mientras intenta seguir viviendo en este mundo sin él. Un día, ella encuentra una carta que tal vez lo aclare todo... Película de la serie anime ""Violet Evergarden"".","""Fiel a su estilo, la animación aquí es sencillamente asombrosa (...) Su intensidad emocional y el ritmo pausado no serán del gusto de todos pero el romanticismo está excepcionalmente bien elaborado, con una sinceridad descarada (…) Puntuación: ★★★★ (sobre 5)"" 
Phuong Le: The Guardian
""Una película que trata con delicadeza las conexiones emocionales entre la gente (...) y cómo los supervivientes se curan y evolucionan después de un trauma (...) Puntuación: ★★★★ (sobre 5)"" 
Matt Schley: The Japan Times
""Visualmente mantiene el nivel de la serie (...) Tiene muchas cosas admirables (...) Pero en general, me pareció una experiencia caótica"" 
Kim Morrissy: Anime News Network (ANN)",NA
"Distancia de rescateaka","2021","93 min.","Perú","Claudia Llosa","Claudia Llosa, Samanta Schweblin. Novela: Samanta Schweblin","Natalie Holt","Óscar Faura","María Valverde, Dolores Fonzi, Guillermo Pfening, Germán Palacios, Emilio Vodanovich, Marcelo Michinaux, Guillermina Sorribes Liotta","Coproducción Perú-Estados Unidos-Chile-España;
Paradise Falls Peru, Gran Via Productions, Fabula, Wanda Films. Distribuidora: Netflix","Thriller. Intriga. Drama | Maternidad","Una mujer llamada Amanda pasa las vacaciones en un tranquilo pueblo argentino con su pequeña hija, Nina. Siempre preocupada por el bienestar de su hija, calcula constantemente la ""distancia de rescate"" necesaria para protegerla. Pronto descubre que las cosas que la rodean no son como parecen. ","""Una fábula oscura y potente (....) Llosa hace bien transformando los monólogos del original en un proyecto escalofriante y reflexivo, que evoca poderosamente un mundo de peligros invisibles"" 
Jonathan Holland: Screendaily
""El terror y la belleza han sido compañeros de pantalla muchas veces. Pero en 'Fever Dream', film que está a la altura de su título, su conexión es inextricable e inquietante, moldeada e impulsada por una sensación extraña de emergencia"" 
Sheri Linden: The Hollywood Reporter
""La abundancia de temas que maneja la película juega a su favor pero también en su contra (...) Una reflexión sincera pero dispersa sobre la desconexión inevitable entre madre e hija"" 
Jonathan Christian: The Playlist
""Una película escalofriante que más que desarrollarse se suda a sí misma. Las escenas más efectivas transmiten un pánico maternal tan intenso que sientes que la película está navegando entre la vida y la muerte"" 
David Ehrlich: IndieWire
""Tiene muchas cosas admirables. La dirección de Llosa es elegante (...) 'Distancia de rescate' no es un fracaso total; más bien es un fiasco sofocante."" 
Stephanie Bunbury: Deadline
""Un thriller psicológico sobre la migración espiritual que, tras un intrigante montaje, se pierde en el éter (...) Una combinación curiosa del esoterismo característico y de la conciencia medioambiental del cine de Llosa"" 
Guy Lodge: Variety
""Funciona extraordinariamente bien en las pantallas de televisión, sobre todo si se ve en soledad a altas horas de la noche (...) En su conjunto es un poco locura, pero también muy bonita (…) Puntuación: ★★★★ (sobre 5)"" 
Leslie Felperin: The Guardian
Mostrar 14 críticas más","2021: Festival de San Sebastián: Sección oficial largometrajes a concurso"
"Hiacyntaka","2021","106 min.","Polonia","Piotr Domalewski","Marcin Ciaston","Wojciech Urbanski","Piotr Sobocinski Jr.","Tomasz Zietek, Hubert Milikowski, Marek Kalita, Adrianna Chlebicka, Tomasz Schuchardt, Sebastian Stankiewicz, Jacek Poniedzialek, Piotr Trojan, Agnieszka Suchora, Tomasz Wlosok, Miroslaw Zbrojewicz, Andrzej Klak, Adam Cywka, Jakub Wieczorek, Filip Perkowski, Michal Pawlik, Slawomir Grzymkowski, Piotr Miazga, Jakub Kotynski, Lukasz Lewandowski, Antoni Salaj, Elzbieta Kepinska, Andrzej Luter, Marcin Zarzeczny, Dariusz Majchrzakver 12 más","ShipsBoy. Distribuidora: Netflix","Thriller. Drama | Policíaco. Crimen. Años 80. Homosexualidad","Polonia, años 80. Un policía que no está conforme con el resultado de la investigación de un asesinato en la comunidad gay de Varsovia se propone descubrir la verdad. ","""Un crudo misterio con un guion inteligente (...) Piotr Domalewski crea una visión oscura, ominosa y atmosférica de la intolerante Polonia comunista de los 80 (...) Puntuación: ★★★ (sobre 5)"" 
M.N. Miller: Ready Steady Cut
""Si se hubiera hecho en los años 40, habría encajado muy bien en el mismo género que 'Detour' o 'The Maltese Falcon'. Tiene una corriente de nihilismo desesperanzado característico del mejor noir (...) Puntuación: ★★★½ (sobre 4)"" 
Odie Henderson: rogerebert.com
""Mezcla dos fórmulas cinematográficas conocidas logrando un drama muy entretenido e interesante que es sólido cuando lo necesita."" 
John Serba: Decider
""La calidad de la producción es impresionante. Lo mismo puede decirse de la historia y de las interpretaciones. En realidad, dado el estado actual de los derechos LGBTQ en Polonia, es muy valiente (...) Puntuación: ★★★★ (sobre 5)"" 
Karina Adelgaard: Heaven of Horror",NA
"Neoreul Darmeun Saram","2021","64 min.","Corea del Sur","Hyun-Wook Im, Lim Hyun-ook (Creador), Bo-Ra Yoo (Creador)","Bo-Ra Yoo",NA,NA,"Go Hyun-jung, Shin Hyon-bin, Kim Jae-yeong, Choi Won-young, Kim Ameliia, Chang Hyae-jin, Shin Dong-wook, Kim Su-an, Kim Sang-ho, Kim Ho-jung","Celltrion Entertainment, JTBC, JTBC. Distribuidora: JTBC, Netflix","Serie de TV. Drama. Thriller","La envidiable vida de una exitosa pintora empieza a derrumbarse cuando una brillante joven con la que mantuvo una amistad reaparece completamente transformada.
","""El primer episodio tiene muchas cosas interesantes, con una atmósfera escalofriante, mucho drama y un buen puñado de personajes (…) Puntuación: ★★★★ (sobre 5)"" 
Greg Wheeler: The Review Geek
""Intrigante desde sus primeros espeluznantes momentos, 'Reflection of You' establece una atmósfera inquietante y algunos misterios para enganchar a los espectadores."" 
Jade Budowski: Decider
""Mucho estilo y poca historia (...) Tiene ingredientes para ser un misterio interesante y con atmósfera. Pero le falta gancho a la historia"" 
Pierce Conran: South China Morning Post
""Tiene un aura terrorífica en todo momento y la manera en que los guionistas han desarrollado esto desde los primeros minutos te atrapa (…) Puntuación: ★★★★½ (sobre 5)"" 
Bashirat Oladele: Ready Steady Cut
""Un misterio que redefine la identidad de una mujer (...) Está bien interpretada y la trama está cuidadosamente diseñada"" 
Joan MacDonald: Forbes",NA
"The Movies That Made Us","2019","50 min.","Estados Unidos","Brian Volk-Weiss","Benjamin J. Frost, Brian Volk-Weiss",NA,"Daniel Cotroneo, Matt Kubas, Brian Stillman","Documental, intervenciones de: Frank Price, Chris Columbus, Ivan Reitman, John McTiernan, Jennifer Julian. Voz: Donald Ian Black, Danny Wallace","Nacelle Company. Distribuidora: Netflix","Serie de TV. Documental | Documental sobre cine","Las personas detrás de las películas inolvidables que marcaron un antes y un después en el mundo del cine, cuentan todos los secretos de la producción.

- Temporada 1: Dirty Dancing, Home Alone, Ghostbusters, Die Hard.
- Temporada 2: Back to the Future, Pretty Woman, Jurassic Park, Forrest Gump.
- Temporada 3: Aliens, A Nightmare On Elm Street, Coming To America, Friday The 13th, Halloween, Robocop, Elf, The Nightmare Before Christmas.
","""[Crítica 2ª temporada]: Cada episodio tiene el poder de hacer que la gente vea el cine desde otro ángulo (…) Puntuación: ★★★★ (sobre 5)"" 
Dempsey Pillot: Ready Steady Cut
""[Crítica 2ª temporada]: Supera la calidad de la primera temporada (...) Es tan sorprendente como entretenida."" 
Greg Wheeler: The Review Geek
""Probablemente sepas muchas cosas sobre las películas que aparecen, pero seguro que cada episodio te enseña algo que no sabías."" 
Joel Keller: Decider
""Una mirada afectuosa e informativa a los clásicos (...) Puntuación: ★★★½ (sobre 5)"" 
Jonathon Wilson: Ready Steady Cut
""Una serie entretenida que ofrece muchos detalles, entrevistas interesantes y material entre bambalinas (…) Puntuación: ★★★★ (sobre 5)"" 
Melissa Camacho: Common Sense Media
""Si eres fan del cine, de 'The Toys That Made Us' o de los documentales ligeros, 'The Movies That Made Us' merece la pena, es entretenida de principio a fin."" 
Greg Wheeler: The Review Geek",NA
"La creación de Malinche: Un documental de Nacho Cano","2021","89 min.","España","Marta Hermida",NA,NA,NA,"Documental, intervenciones de: Nacho Cano, Melissa Barrera, Thaddeus Pearson, Hans Zimmer, Armando Manzanero","Distribuidora: Netflix","Documental | Documental sobre música","Documental que acompaña el proceso creativo del nuevo musical de Nacho Cano basado en la historia de amor de la Malinche y Hernán Cortés, y la fusión de sus dos mundos.","""Puede que sea más idónea para los que ya conozcan a Nacho Cano y/o su musical 'Malinche'. No acaba de tener la misma chispa que otros documentales de Netflix (...) Puntuación: ★★ (sobre 5)"" 
Jordan Russell Lyon: Ready Steady Cut",NA
"Bright: Samurai Soul","2021","80 min.","Japón","Kyōhei Ishiguro","Michiko Yokote",NA,"Animación","Animación","Coproducción Japón-Estados Unidos;
Arect. Distribuidora: Netflix","Animación. Acción. Aventuras | Japón feudal. Samuráis","En los primeros años de la Restauración Meiji en Japón, un samurái humano debe hacer equipo con un orco asesino para salvar a una una joven elfa huérfana de su adversario.","""Un spin-off de Netflix que intenta redimir uno de sus grandes fracasos, pero hay algunas propuestas que quieren ser franquicias que no tienen ninguna magia cinematográfica."" 
David Ehrlich: IndieWire
""Una mezcla hermosa de mitología, historia y fantasía. Y esta hermosa mezcla hace que el anime sea entretenido (…) Puntuación: ★★★½ (sobre 5)"" 
Abirbhab Maitra: Ready Steady Cut
""Sus aspectos visualmente agradables no compensan sus problemas narrativos. Se olvidaron de poner alma en 'Bright: Alma de samurái'."" 
John Serba: Decider",NA
"Convergence: Courage in a Crisis","2021","113 min.","Estados Unidos","Orlando von Einsiedel, Hassan Akkad, Lieven Corthouts, Mohammad Reza Eyni, Amber Fares, Guillermo Galdós, Lali Houghton, Sara Khaki, Wenhau Lin, Mauricio Monteiro Filho, Juhi Sharma",NA,"Patrick Jonsson",NA,"Documental","Grain Media, Story Syndicate. Distribuidora: Netflix","Documental | Coronavirus (COVID-19)","Mientras la COVID-19 intensifica las vulnerabilidades en todo el mundo, héroes anónimos en todos los niveles sociales ayudan a encaminar las cosas hacia un futuro mejor.
","""Este documental pandémico tiene un gran impacto emocional, pero el deseo de transmitir un mensaje global empaña su efecto (…) Puntuación: ★★★ (sobre 5)"" 
Phil Hoad: The Guardian
""Es tan disperso como abrumador (...) Sin embargo, logran brillar algunos ejemplos verdaderamente emotivos de dolor y compasión individual"" 
Devika Girish: The New York Times
""A pesar de la dispersión narrativa, es un documental frecuentemente conmovedor, a veces duro de ver, que sirve para recordarnos que los individuos hacen la diferencia"" 
John Serba: Decider
""Un emocionante tributo a la naturaleza puramente desinteresada del sacrificio de innumerables cuidadores (...) Puntuación: ★★★ (sobre 4)"" 
Matt Fagerholm: rogerebert.com
""Se esfuerza por mostrar la esperanza de un futuro mejor (...) Cuando parece acelerada por intentar retratar una instantánea global, su impacto se diluye"" 
Robert Abele: Los Angeles Times
""Un poderoso documental, lleno de fascinantes hechos reales e historias heroicas (...) Brinda luz al hecho de que, a pesar de la adversidad, la humanidad sigue brillando al final del túnel (...) Puntuación: ★★★ (sobre 5)"" 
Christina Geani: Ready Steady Cut",NA
